CAS.Number,ChemicalName,Target.Name,UniProt.Name,Organism,NCBI.Taxonomy.Id,Gene.Name,Molecular.Weight,General.Function,Specific.Function,Chromosome.Location,HGNC.ID,KEGG.ID,estrogen_pathway,testosterone_pathway,hormone_pathway
60168-88-9,Fenarimol,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
68-26-8,Vitamin A,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
66-71-7,"1,10-Phenanthroline",Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
129453-61-8,Fulvestrant,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
79902-63-9,Simvastatin,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
125-84-8,Aminoglutethimide,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
2971-36-0,HPTE,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
154-42-7,Tioguanine,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
20830-75-5,Digoxin,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
77-09-8,Phenolphthalein,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
175013-18-0,Pyraclostrobin,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
112809-51-5,Letrozole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
131-57-7,Oxybenzone,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
54-11-5,Nicotine,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
63-05-8,Androstenedione,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,3BHS1_HUMAN,Human,9606,HSD3B1,42251.25,Steroid delta-isomerase activity,"3-beta-HSD is a bifunctional enzyme, that catalyzes the oxidative conversion of Delta(5)-ene-3-beta-hydroxy steroid, and the oxidative conversion of ketosteroids. The 3-beta-HSD enzymatic system plays a crucial role in the biosynthesis of all classes of hormonal steroids. Efficiently catalyzes the transformation of pregnenolone to progesterone, 17-alpha-hydroxypregnenolone to 17-alpha-hydroxyprogesterone, DHEA to 4-androstenedione, dihydrotestosterone to 5-alpha-androstane-3 beta,17 beta-diol, dehydroepiandrosterone to androstenedione and 5-alpha-androstan-3 beta,17 beta-diol to 5-alpha-dihydrotestosterone.",1,HGNC:5217,hsa:3283,NO,YES,NO
63-05-8,Androstenedione,Estradiol 17-beta-dehydrogenase 1,DHB1_HUMAN,Human,9606,HSD17B1,34949.715,Testosterone dehydrogenase (nad+) activity,Favors the reduction of estrogens and androgens. Also has 20-alpha-HSD activity. Uses preferentially NADH.,17,HGNC:5210,hsa:3292,YES,NO,NO
33213-65-9,beta Endosulfan,Estradiol 17-beta-dehydrogenase 1,DHB1_HUMAN,Human,9606,HSD17B1,34949.715,Testosterone dehydrogenase (nad+) activity,Favors the reduction of estrogens and androgens. Also has 20-alpha-HSD activity. Uses preferentially NADH.,17,HGNC:5210,hsa:3292,YES,NO,NO
474-86-2,Equilin,Estradiol 17-beta-dehydrogenase 1,DHB1_HUMAN,Human,9606,HSD17B1,34949.715,Testosterone dehydrogenase (nad+) activity,Favors the reduction of estrogens and androgens. Also has 20-alpha-HSD activity. Uses preferentially NADH.,17,HGNC:5210,hsa:3292,YES,NO,NO
521-18-6,Dihydrotestosterone,Estradiol 17-beta-dehydrogenase 1,DHB1_HUMAN,Human,9606,HSD17B1,34949.715,Testosterone dehydrogenase (nad+) activity,Favors the reduction of estrogens and androgens. Also has 20-alpha-HSD activity. Uses preferentially NADH.,17,HGNC:5210,hsa:3292,YES,NO,NO
99-66-1,Valproic acid,UDP-glucuronosyltransferase 2B7,UD2B7_HUMAN,Human,9606,UGT2B7,60694.12,Glucuronosyltransferase activity,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds.Its unique specificity for 3,4-catechol estrogens and estriol suggests it may play an important role in regulating the level and activity of these potent and active estrogen metabolites. Is also active with androsterone, hyodeoxycholic acid and tetrachlorocatechol (in vitro).",4,HGNC:12554,hsa:7364,YES,NO,NO
5104-49-4,Flurbiprofen,Aldo-keto reductase family 1 member C4,AK1C4_HUMAN,Human,9606,AKR1C4,37066.52,Retinal dehydrogenase activity,"Catalyzes the transformation of the potent androgen dihydrotestosterone (DHT) into the less active form, 5-alpha-androstan-3-alpha,17-beta-diol (3-alpha-diol). Also has some 20-alpha-hydroxysteroid dehydrogenase activity. The biotransformation of the pesticide chlordecone (kepone) to its corresponding alcohol leads to increased biliary excretion of the pesticide and concomitant reduction of its neurotoxicity since bile is the major excretory route.",10,HGNC:387,hsa:1109,NO,YES,NO
53-86-1,Indomethacin,Aldo-keto reductase family 1 member C4,AK1C4_HUMAN,Human,9606,AKR1C4,37066.52,Retinal dehydrogenase activity,"Catalyzes the transformation of the potent androgen dihydrotestosterone (DHT) into the less active form, 5-alpha-androstan-3-alpha,17-beta-diol (3-alpha-diol). Also has some 20-alpha-hydroxysteroid dehydrogenase activity. The biotransformation of the pesticide chlordecone (kepone) to its corresponding alcohol leads to increased biliary excretion of the pesticide and concomitant reduction of its neurotoxicity since bile is the major excretory route.",10,HGNC:387,hsa:1109,NO,YES,NO
98319-26-7,Finasteride,3-oxo-5-alpha-steroid 4-dehydrogenase 1,S5A1_HUMAN,Human,9606,SRD5A1,29458.18,Electron carrier activity,Converts testosterone into 5-alpha-dihydrotestosterone and progesterone or corticosterone into their corresponding 5-alpha-3-oxosteroids. It plays a central role in sexual differentiation and androgen physiology.,5,HGNC:11284,hsa:6715,NO,YES,NO
797-63-7,Levonorgestrel,3-oxo-5-alpha-steroid 4-dehydrogenase 1,S5A1_HUMAN,Human,9606,SRD5A1,29458.18,Electron carrier activity,Converts testosterone into 5-alpha-dihydrotestosterone and progesterone or corticosterone into their corresponding 5-alpha-3-oxosteroids. It plays a central role in sexual differentiation and androgen physiology.,5,HGNC:11284,hsa:6715,NO,YES,NO
98319-26-7,Finasteride,3-oxo-5-alpha-steroid 4-dehydrogenase 2,S5A2_HUMAN,Human,9606,SRD5A2,28393.015,Sterol 5-alpha reductase activity,Converts testosterone (T) into 5-alpha-dihydrotestosterone (DHT) and progesterone or corticosterone into their corresponding 5-alpha-3-oxosteroids. It plays a central role in sexual differentiation and androgen physiology.,2,HGNC:11285,hsa:6716,NO,YES,NO
123-99-9,Azelaic Acid,3-oxo-5-alpha-steroid 4-dehydrogenase 2,S5A2_HUMAN,Human,9606,SRD5A2,28393.015,Sterol 5-alpha reductase activity,Converts testosterone (T) into 5-alpha-dihydrotestosterone (DHT) and progesterone or corticosterone into their corresponding 5-alpha-3-oxosteroids. It plays a central role in sexual differentiation and androgen physiology.,2,HGNC:11285,hsa:6716,NO,YES,NO
63-05-8,Androstenedione,Testosterone 17-beta-dehydrogenase 3,DHB3_HUMAN,Human,9606,HSD17B3,34515.345,Testosterone 17-beta-dehydrogenase (nadp+) activity,Favors the reduction of androstenedione to testosterone. Uses NADPH while the two other EDH17B enzymes use NADH.,9,HGNC:5212,hsa:3293,NO,YES,NO
63-05-8,Androstenedione,Aldo-keto reductase family 1 member C3,AK1C3_HUMAN,Human,9606,AKR1C3,36852.89,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity","Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta-PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-alpha HSD. Can interconvert active androgens, estrogens and progestins with their cognate inactive metabolites. Preferentially transforms androstenedione (4-dione) to testosterone.",10,HGNC:386,hsa:8644,YES,YES,NO
53-86-1,Indomethacin,Aldo-keto reductase family 1 member C3,AK1C3_HUMAN,Human,9606,AKR1C3,36852.89,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity","Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta-PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-alpha HSD. Can interconvert active androgens, estrogens and progestins with their cognate inactive metabolites. Preferentially transforms androstenedione (4-dione) to testosterone.",10,HGNC:386,hsa:8644,YES,YES,NO
67-68-5,Dimethyl sulfoxide,Aldo-keto reductase family 1 member C3,AK1C3_HUMAN,Human,9606,AKR1C3,36852.89,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity","Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta-PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-alpha HSD. Can interconvert active androgens, estrogens and progestins with their cognate inactive metabolites. Preferentially transforms androstenedione (4-dione) to testosterone.",10,HGNC:386,hsa:8644,YES,YES,NO
15687-27-1,Ibuprofen,Aldo-keto reductase family 1 member C3,AK1C3_HUMAN,Human,9606,AKR1C3,36852.89,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity","Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta-PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-alpha HSD. Can interconvert active androgens, estrogens and progestins with their cognate inactive metabolites. Preferentially transforms androstenedione (4-dione) to testosterone.",10,HGNC:386,hsa:8644,YES,YES,NO
5104-49-4,Flurbiprofen,Aldo-keto reductase family 1 member C3,AK1C3_HUMAN,Human,9606,AKR1C3,36852.89,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity","Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta-PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-alpha HSD. Can interconvert active androgens, estrogens and progestins with their cognate inactive metabolites. Preferentially transforms androstenedione (4-dione) to testosterone.",10,HGNC:386,hsa:8644,YES,YES,NO
69782-91-8,"2,3,3',4',5,5',6-Heptachlorobiphenyl",Estrogen sulfotransferase,ST1E1_HUMAN,Human,9606,SULT1E1,35126.185,Sulfotransferase activity,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of estradiol and estrone. May play a role in the regulation of estrogen receptor activity by metabolizing free estradiol. Maximally sulfates beta-estradiol and estrone at concentrations of 20 nM. Also sulfates dehydroepiandrosterone, pregnenolone, ethinylestradiol, equalenin, diethylstilbesterol and 1-naphthol, at significantly higher concentrations; however, cortisol, testosterone and dopamine are not sulfated.",4,HGNC:11377,hsa:6783,YES,YES,NO
70424-69-0,"2,3,3',4,5-Pentachlorobiphenyl",Estrogen sulfotransferase,ST1E1_HUMAN,Human,9606,SULT1E1,35126.185,Sulfotransferase activity,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of estradiol and estrone. May play a role in the regulation of estrogen receptor activity by metabolizing free estradiol. Maximally sulfates beta-estradiol and estrone at concentrations of 20 nM. Also sulfates dehydroepiandrosterone, pregnenolone, ethinylestradiol, equalenin, diethylstilbesterol and 1-naphthol, at significantly higher concentrations; however, cortisol, testosterone and dopamine are not sulfated.",4,HGNC:11377,hsa:6783,YES,YES,NO
73575-57-2,"2,2',3,4,6'-Pentachlorobiphenyl",Estrogen sulfotransferase,ST1E1_HUMAN,Human,9606,SULT1E1,35126.185,Sulfotransferase activity,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of estradiol and estrone. May play a role in the regulation of estrogen receptor activity by metabolizing free estradiol. Maximally sulfates beta-estradiol and estrone at concentrations of 20 nM. Also sulfates dehydroepiandrosterone, pregnenolone, ethinylestradiol, equalenin, diethylstilbesterol and 1-naphthol, at significantly higher concentrations; however, cortisol, testosterone and dopamine are not sulfated.",4,HGNC:11377,hsa:6783,YES,YES,NO
74472-49-4,"2,2',3,4,5,6,6'-Heptachlorobiphenyl",Estrogen sulfotransferase,ST1E1_HUMAN,Human,9606,SULT1E1,35126.185,Sulfotransferase activity,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of estradiol and estrone. May play a role in the regulation of estrogen receptor activity by metabolizing free estradiol. Maximally sulfates beta-estradiol and estrone at concentrations of 20 nM. Also sulfates dehydroepiandrosterone, pregnenolone, ethinylestradiol, equalenin, diethylstilbesterol and 1-naphthol, at significantly higher concentrations; however, cortisol, testosterone and dopamine are not sulfated.",4,HGNC:11377,hsa:6783,YES,YES,NO
60145-20-2,"2,2',3,3',5-Pentachlorobiphenyl",Estrogen sulfotransferase,ST1E1_HUMAN,Human,9606,SULT1E1,35126.185,Sulfotransferase activity,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of estradiol and estrone. May play a role in the regulation of estrogen receptor activity by metabolizing free estradiol. Maximally sulfates beta-estradiol and estrone at concentrations of 20 nM. Also sulfates dehydroepiandrosterone, pregnenolone, ethinylestradiol, equalenin, diethylstilbesterol and 1-naphthol, at significantly higher concentrations; however, cortisol, testosterone and dopamine are not sulfated.",4,HGNC:11377,hsa:6783,YES,YES,NO
